person_uuid,institution_uuid,institution_name,degree_type,subject,degree_started_on,degree_completed_on,degree_is_completed
4897dba9-3141-ecc0-2c4b-c9d844e6440f,1eab62d2-15d9-0db7-930f-2aa77d4688e1,Boston University,MS,Mass Communication,1988-01-01,1992-01-01,True
4897dba9-3141-ecc0-2c4b-c9d844e6440f,6ae9957a-8fb4-0ab1-73fa-dd547c4d3da4,Washington University in St. Louis,BA,"English, French",1986-01-01,1990-01-01,True
29ea5efc-fd7a-402b-3a5d-b8660ac105ea,b5ea73f6-12a3-576d-ae9b-f4169147f974,University of Greenwich,MS,Internet Technology,2002-01-01,2006-01-01,True
45e29113-19f9-c828-68d0-42ad2ef04da0,5f84d9fa-78fd-14b0-d335-5ac3561cdc0a,Northeastern University,BS,Computer Science,1984-01-01,1988-01-01,True
b3b4ec6b-86fe-dd6e-ec8a-e8e7e999f274,1a380593-fb9d-7f7b-ae67-784ce3ff3690,Rochester Institute of Technology,BS,Computer Science,1998-01-01,2002-01-01,True
d79f466b-da07-63d4-b111-2d6be126dd2f,9cb593c9-f5ad-c361-d2d9-8138b313e592,University of Oregon,BA,International Business & Marketing,1993-01-01,1997-01-01,True
5eb1057d-07a4-4e7c-0c69-650f37c9c7ce,e72aab01-fbef-7d21-ac1d-84ee1413fddd,University of Pennsylvania,Bachelor of Science,Economics,1985-09-04,1989-05-01,True
99966e52-84f3-7513-0121-9a112a4833fa,56f86337-7a4b-3139-9c69-19a1fb79c538,Bournemouth University,unknown,Computing and Internet Technology,2004-01-01,2008-01-01,True
bd3fa39c-d594-2f49-ddbc-6ca6200313c3,bda6a1fb-62b4-a091-42c4-b127539e50cd,University of Cambridge,M.A.,Physics & Philosophy,2000-01-01,2003-01-01,True
66328620-d48a-26a9-f4a9-72b002796ced,b04638d7-4484-6527-e98c-d97fa4856b47,University of Toronto Faculty of Law,LL.B,Law,1989-01-01,1993-01-01,True
66328620-d48a-26a9-f4a9-72b002796ced,f44448e4-ff35-c96a-b7c0-3bd2ebcb4f72,Princeton University,BA,Economics,1986-01-01,1990-01-01,True
b6a5d257-f111-0e1a-d274-b9acc1a8e5cf,116b9768-64c3-7533-a7e8-a3c573816c4e,Delft University of Technology,MS,Media & Knowledge Engineering,2003-01-01,2007-01-01,True
080271bd-1a07-aeea-e587-34c01d9de5bb,e3a55987-fdbb-cb79-fcb2-7261461b43a5,Tel Aviv University,Ph.D,Finance,1995-01-01,1999-01-01,True
f6643e09-9f1d-09b5-f04a-acd938e1868c,c75eddad-161a-e58c-b87b-e75d1ed5f75d,Louisiana State University,BA,"History, Political Science",1992-01-01,1996-01-01,True
f6643e09-9f1d-09b5-f04a-acd938e1868c,a6549dc5-9dff-ce3e-eb1e-79af3430462e,The University of Texas at Austin,MBA,unknown,2000-01-01,2004-01-01,True
ee2a8a69-b155-a24a-a0bc-9eaf23e6a875,5d711469-1dbb-3bbd-8a2d-3b6d16b14c1e,New York University,BFA,"Computer Science, Photography",2001-01-01,2005-01-01,True
45e29113-19f9-c828-68d0-42ad2ef04da0,c1104246-ce96-71f5-bd39-8f9bca126006,Babson College,MBA,"Entrepreneurship, Finance",1991-01-01,1995-01-01,True
8aaa422d-b364-06de-2952-4b302005b4e5,dcb99002-9225-c513-27c6-9002b6103bc0,Yale University,BA,Political Science,2000-01-01,2005-01-01,True
e80881c8-9b9b-94e9-dcd2-137b54927e08,d8b57c0e-9f0f-4dcb-d207-a12a90c64a2d,Harvard University,B.A.,Social Studies,2001-01-01,2005-01-01,True
77ad1373-389e-8415-615f-ddae0d371e24,b6474ab8-1cea-e73c-54ba-36c08e357917,"University of California, Los Angeles",BS,Computer Science & Engineering,1993-01-01,1997-01-01,True
77ad1373-389e-8415-615f-ddae0d371e24,b6474ab8-1cea-e73c-54ba-36c08e357917,"University of California, Los Angeles",MS,Computer Science Software Engineering,1995-01-01,1999-01-01,True
cd54216e-320e-765e-b8e8-4d27e5c75f94,7e8a2a93-7577-0744-9097-39b55ab4c38c,Bangalore University,Bachelor Engineering,Electronics Engineering,1988-08-01,1993-03-01,True
d1e34ead-8b92-5a1a-393e-4c30501e8b36,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,unknown,Entrepreneurial Management,2004-01-01,2008-01-01,True
7b276e11-1f8d-7f66-1f8a-6e852c213171,882b5335-962f-ea61-69f3-90f81f534e51,The Johns Hopkins University,MBA,Business Administration,2002-01-01,2006-01-01,True
34cf05a8-2882-3054-2e4f-58cfb3e886c6,4c942c9c-88f1-65fc-0caf-ea1566d06ef7,University of Maryland,Ph.D,Electrical Engineering,1986-01-01,1990-01-01,True
ba4224d5-c85c-51c3-d3f7-9a7454dbab33,f5ce3e37-7959-d604-71c7-90e860644052,Lehigh University,BS,Computer Science & Business,2002-01-01,2006-01-01,True
5a43fcfe-2881-44bb-0d31-79e6158899b3,13a61110-deae-f8e4-13de-94997c26a29f,Long Island University,BS,Administration in Management/Marketing,1999-01-01,2003-01-01,True
330a1ad6-f460-91f7-f0b1-fbf3ab18cb5c,1b483736-ba8b-3bcc-df47-403f4ac73848,University of Waterloo,BS,Computer Engineering,1990-01-01,1994-01-01,True
39883307-e4f8-99ee-1b41-abd31722d90d,55fce8a2-bfd1-fbaf-0708-6a05a12ceddc,Hunter College,BA,"Anthropology, English",1996-01-01,2000-01-01,True
