investment_type,announced_on,raised_amount_usd,post_money_valuation_usd,investor_count,org_uuid
angel,2004-09-01,500000.0,0.0,4.0,df662812-7f97-0b43-9d3e-12f64f504fbb
series_a,2005-05-01,12700000.0,98000000.0,4.0,df662812-7f97-0b43-9d3e-12f64f504fbb
series_b,2006-04-01,27500000.0,502500000.0,5.0,df662812-7f97-0b43-9d3e-12f64f504fbb
series_b,2006-05-01,10500000.0,0.0,2.0,f53cb4de-236e-0b1b-dee8-7104a8b018f9
series_a,2007-01-17,0.0,10000000.0,1.0,4111dc8b-c0df-2d24-ed33-30cd137b3098
series_b,2007-03-01,10000000.0,100000000.0,1.0,4111dc8b-c0df-2d24-ed33-30cd137b3098
seed,2005-12-01,1500000.0,0.0,4.0,3d16cb4c-911e-75c0-de5a-15c316b39f98
series_a,2007-05-01,6300000.0,0.0,3.0,56b5f0c1-855f-2ebb-083f-16641f1db2e1
seed,2007-03-07,40000.0,0.0,2.0,21e77067-5537-408e-cad7-e5e72bb6ad86
series_a,2007-06-05,3710000.0,21210000.0,6.0,21e77067-5537-408e-cad7-e5e72bb6ad86
series_b,2007-06-01,40000000.0,0.0,4.0,ea091a8c-40e0-0607-e05a-86e734f94ade
series_a,2007-03-14,13500000.0,0.0,3.0,ea091a8c-40e0-0607-e05a-86e734f94ade
series_b,2007-01-01,5700000.0,0.0,2.0,59fada33-1595-de45-b362-062a04cf51cf
series_a,2007-06-01,1500000.0,0.0,1.0,b528bd22-cce5-c60c-c79a-b4d995f66993
series_a,2007-05-09,45000000.0,0.0,5.0,90e234e5-c045-f851-e6aa-291af5d270fe
series_a,2007-03-05,13200000.0,0.0,1.0,6ec85818-e24d-4789-660e-9cda11bb86fa
series_a,2002-11-01,3800000.0,11300000.0,3.0,91f5ca18-e026-9482-8e4f-22593943e0f5
series_c,2006-06-01,10520000.0,0.0,2.0,f43648f4-f341-401b-3b0e-0219683e9ada
series_b,2004-09-01,6500000.0,0.0,0.0,f43648f4-f341-401b-3b0e-0219683e9ada
series_a,2006-05-01,2500000.0,0.0,2.0,fc89cfde-a28e-e12c-443c-edccb6c93fd4
series_b,2007-02-01,5500000.0,21000000.0,5.0,fc89cfde-a28e-e12c-443c-edccb6c93fd4
series_b,2003-07-01,8500000.0,42000000.0,3.0,91f5ca18-e026-9482-8e4f-22593943e0f5
series_c,2004-04-01,7000000.0,71000000.0,4.0,91f5ca18-e026-9482-8e4f-22593943e0f5
series_d,2007-02-01,9000000.0,131000000.0,1.0,91f5ca18-e026-9482-8e4f-22593943e0f5
series_a,2007-06-13,5000000.0,0.0,6.0,11352c70-21bb-b546-e9b2-723a4be03075
series_a,2007-07-01,2250000.0,0.0,4.0,9cf1e3e7-eec5-21c4-1034-7fc8befad0ce
series_b,2006-04-01,12500000.0,0.0,3.0,f0c65c5c-30f9-896e-f6d7-acd6026acd2e
series_c,2007-06-14,26000000.0,0.0,5.0,f0c65c5c-30f9-896e-f6d7-acd6026acd2e
seed,2007-06-01,1000000.0,0.0,2.0,dca84eab-ed98-af47-7183-7420856db9ef
series_c,2006-10-01,30000000.0,0.0,2.0,e867f917-49f4-717c-a827-1b2269d9bdb4
series_b,2006-04-01,26000000.0,0.0,1.0,e867f917-49f4-717c-a827-1b2269d9bdb4
series_a,2005-12-01,5000000.0,0.0,3.0,e867f917-49f4-717c-a827-1b2269d9bdb4
series_b,2007-05-01,6850000.0,0.0,2.0,b93d25ff-cf38-929e-57a6-b40bf77db9ca
series_a,2006-11-15,6000000.0,0.0,1.0,b93d25ff-cf38-929e-57a6-b40bf77db9ca
series_a,2006-03-01,6000000.0,0.0,2.0,d0647cec-acb3-9a23-bc4f-d3fad90ecb4e
seed,2007-02-01,700000.0,0.0,1.0,697df046-5264-0394-1ff2-7109a0d6e848
series_a,2007-06-01,4000000.0,0.0,2.0,697df046-5264-0394-1ff2-7109a0d6e848
series_c,2007-06-20,20000000.0,0.0,6.0,4c8d7754-50b1-a165-3dfe-a5d62877bbb6
series_a,2005-04-01,7500000.0,0.0,2.0,4c8d7754-50b1-a165-3dfe-a5d62877bbb6
series_b,2006-02-01,12500000.0,0.0,4.0,4c8d7754-50b1-a165-3dfe-a5d62877bbb6
seed,2007-01-01,3000000.0,0.0,1.0,e691c0a6-1f9c-8b4e-4287-c36f91d892bb
series_a,2006-04-01,4000000.0,0.0,1.0,5b05e013-a448-3a0b-d872-a6ae668e1192
series_b,2016-11-06,15000000.0,0.0,4.0,8a899f9c-886e-2b9c-378e-49bbeb316cfc
series_a,2005-03-01,5000000.0,60000000.0,4.0,8a899f9c-886e-2b9c-378e-49bbeb316cfc
series_b,2005-08-01,19500000.0,0.0,3.0,1c87b337-8256-711a-a78f-10a90009b3c3
series_c,2006-07-01,18000000.0,0.0,4.0,1c87b337-8256-711a-a78f-10a90009b3c3
series_a,2005-01-01,8000000.0,0.0,2.0,1c87b337-8256-711a-a78f-10a90009b3c3
series_a,2006-09-01,1000000.0,0.0,3.0,1ecfb336-a948-b94a-7741-46aa44136e3c
series_b,2007-06-25,8000000.0,0.0,1.0,1ecfb336-a948-b94a-7741-46aa44136e3c
series_a,2006-03-01,0.0,0.0,2.0,2aa969d7-5361-dacb-e9f1-dc53814a319a
series_a,2006-06-01,5000000.0,0.0,2.0,3d02b92f-668f-1a97-5c12-5d7646ae3ffe
series_b,2007-04-10,20000000.0,0.0,2.0,3d02b92f-668f-1a97-5c12-5d7646ae3ffe
angel,2007-01-01,100000.0,0.0,0.0,93ef5a7c-8369-f255-8533-0861c3ad43ad
series_a,2006-12-01,7000000.0,0.0,2.0,d68fcedd-3a0d-28f9-4805-9f22211c364f
series_a,2007-01-01,4000000.0,0.0,2.0,42d01582-809b-095a-6576-886cbb6dce51
series_a,2007-01-01,4250000.0,0.0,3.0,ab953126-0de3-ff97-9678-cc4fbd89d73d
series_a,2006-10-01,5000000.0,0.0,1.0,cfe3ce79-49e0-77e4-7d45-7c75b902ef04
series_b,2007-06-01,10000000.0,0.0,2.0,cfe3ce79-49e0-77e4-7d45-7c75b902ef04
series_a,2005-11-01,3500000.0,0.0,1.0,eef9eab2-4c50-f0a3-12b8-ce721fa2cc81
series_unknown,2006-03-30,8000000.0,88000000.0,2.0,eef9eab2-4c50-f0a3-12b8-ce721fa2cc81
series_a,2005-03-01,3000000.0,0.0,1.0,f53cb4de-236e-0b1b-dee8-7104a8b018f9
series_c,2007-05-09,20000000.0,0.0,2.0,b2995b09-230b-460e-ee0e-cf8c8ad2cd18
series_b,2004-03-01,18800000.0,0.0,2.0,9a0e860a-7743-28e2-05c0-2b08646d0fe1
series_a,2006-02-01,6000000.0,0.0,1.0,25a80a95-9edc-792a-88b3-c666ba64b181
series_b,2007-02-27,7000000.0,0.0,4.0,301ed09b-263f-660e-fd1c-eaac39b549b9
series_a,2006-11-29,6200000.0,0.0,3.0,301ed09b-263f-660e-fd1c-eaac39b549b9
series_b,2007-04-25,9000000.0,0.0,3.0,3b7e9147-7a9c-802b-4809-7daed9ad6eff
series_a,2006-01-01,3500000.0,0.0,3.0,3b7e9147-7a9c-802b-4809-7daed9ad6eff
series_b,2006-12-01,8500000.0,0.0,3.0,5f2b40b8-d1b3-d323-d81a-b7a8e89553d0
series_a,2005-10-28,2800000.0,0.0,7.0,5f2b40b8-d1b3-d323-d81a-b7a8e89553d0
series_b,2007-05-24,6000000.0,0.0,3.0,932adf20-03c2-9500-6239-515183dbeb8c
series_a,2007-04-01,0.0,0.0,2.0,622e63a9-147d-c538-57e9-03e9afb884e6
series_b,2006-05-01,3000000.0,0.0,2.0,9424e721-4ebf-90cf-39bd-311f128c0236
series_a,2005-04-01,500000.0,0.0,7.0,9424e721-4ebf-90cf-39bd-311f128c0236
series_b,2006-02-01,6500000.0,0.0,4.0,ac32bb92-c70a-d1de-3703-e285c46ecdb5
series_c,2006-08-01,8000000.0,0.0,1.0,ac32bb92-c70a-d1de-3703-e285c46ecdb5
series_a,2007-06-29,5350000.0,0.0,2.0,65787f75-2ed0-7a08-b434-2eb225c1ab67
series_a,2007-07-01,4000000.0,0.0,1.0,bbb6b150-639e-1b33-728d-0cfa1ffc9597
series_c,2006-10-01,10000000.0,0.0,1.0,e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3
